167,0.0,0
168,61.8,0
169,62.9,0
170,63.2,0
171,63.3,0
172,62.3,0
173,62.9,0
174,61.8,0
175,60.8,0
176,61.3,0
177,62.1,0
178,60.6,0
179,60.6,0
180,62.9,0
181,61.0,0
182,61.4,0
183,61.9,21
184,61.5,63
185,61.4,103
186,61.0,90
187,61.9,120
188,61.4,0
189,61.5,18
190,61.6,61
191,61.3,91
192,61.2,0
193,61.3,39
194,61.5,87
195,61.3,99
196,61.8,143
197,62.2,146
198,61.9,129
199,61.8,153
200,62.3,176
201,61.7,0
202,61.3,7
203,61.3,65
204,61.7,95
205,61.3,120
206,61.8,130
207,61.5,127
208,61.6,0
209,60.6,18
210,61.2,69
211,61.3,94
212,61.4,123
213,61.2,0
214,61.2,7
215,61.1,66
216,61.3,109
217,61.8,124
218,61.4,121
219,61.7,0
220,61.1,7
221,61.0,66
222,61.4,96
223,61.7,127
224,62.1,147
225,62.1,0
226,61.4,7
227,61.6,66
228,61.6,114
229,61.7,132
230,62.3,122
231,62.0,109
232,61.1,0
233,61.2,39
234,61.1,85
235,61.3,0
236,61.1,0
237,61.3,39
238,61.5,84
239,61.1,0
240,61.3,7
241,60.9,66
242,61.8,0
243,61.5,98
244,61.6,190
